Order ID,Actual Delivery Date,Delay Reason,Driver ID,Driver Name,Hub Name,Is Delayed,Is On Time,Order Date,Order Status,Vehicle Name,Vehicle Type,Customer Satisfaction Score,Delivery Time Hours,Hub Processing Time Hours
1,25-10-2024,,43,Karen Rodriguez,San Antonio Hub,FALSE,TRUE,25-10-2024,Delivered,FT-036,Truck,4,6.81,0.89
2,16-06-2024,,29,Matthew Williams,Houston Hub,FALSE,TRUE,16-06-2024,Delivered,FT-016,Van,4,5.74,3.6
3,05-07-2024,,25,Nancy Harris,Austin Hub,FALSE,TRUE,05-07-2024,Delivered,FT-040,Van,4,12.91,2.07
4,22-08-2023,,20,David Davis,Fort Worth Hub,FALSE,TRUE,22-08-2023,Delivered,FT-039,Van,5,9.4,2.37
5,06-06-2024,Severe Weather,49,Joseph Williams,Dallas Main Hub,TRUE,FALSE,02-06-2024,Delivered,FT-018,Truck,3,103.48,1.8
6,01-10-2023,Customer Not Home,10,Daniel Williams,Houston Hub,TRUE,FALSE,26-09-2023,Delivered,FT-019,Van,3,125.92,1.01
7,14-12-2024,Incorrect Address,20,David Davis,Fort Worth Hub,TRUE,FALSE,14-12-2024,Delivered,FT-030,Van,3,8.55,1.62
8,18-11-2024,,5,Lisa Taylor,San Antonio Hub,FALSE,TRUE,17-11-2024,Delivered,FT-036,Truck,4,30.04,2.28
9,24-05-2024,,50,Nancy Thomas,Dallas Main Hub,FALSE,TRUE,23-05-2024,Delivered,FT-010,Van,4,41.29,2.16
10,14-11-2024,,16,Anthony Martinez,Houston Hub,FALSE,TRUE,14-11-2024,Delivered,FT-032,Van,4,6.06,0.67
11,26-11-2023,,38,Elizabeth Harris,El Paso Hub,FALSE,TRUE,26-11-2023,Delivered,FT-037,Van,4,14.54,3.24
12,20-01-2023,,45,Daniel Brown,Houston Hub,FALSE,TRUE,20-01-2023,Delivered,FT-016,Van,5,16.22,0.81
13,14-03-2024,,52,Daniel Garcia,Austin Hub,FALSE,TRUE,13-03-2024,Delivered,FT-040,Van,4,41.38,2.38
14,05-04-2024,,26,Kevin Thompson,Dallas Main Hub,FALSE,TRUE,05-04-2024,Delivered,FT-015,Van,4,15.35,2.72
15,16-08-2023,,53,Thomas Martin,Houston Hub,FALSE,TRUE,16-08-2023,Delivered,FT-001,Van,4,22.82,1.73
16,13-03-2024,,17,Donald Martin,Fort Worth Hub,FALSE,TRUE,12-03-2024,Delivered,FT-039,Van,4,44.63,1.09
17,18-02-2023,,15,Patricia Hernandez,El Paso Hub,FALSE,TRUE,17-02-2023,Delivered,FT-041,Truck,5,36.98,3.49
18,21-08-2023,,38,Elizabeth Harris,El Paso Hub,FALSE,TRUE,20-08-2023,Delivered,FT-041,Truck,5,42.81,2.2
19,02-11-2023,,51,Kevin Brown,Dallas Main Hub,FALSE,TRUE,01-11-2023,Delivered,FT-013,Van,5,27.34,1.9
20,27-01-2024,,28,Jennifer Rodriguez,Houston Hub,FALSE,TRUE,26-01-2024,Delivered,FT-019,Van,5,26.3,2.5
21,01-04-2023,,21,Patricia Martinez,Austin Hub,FALSE,TRUE,30-03-2023,Delivered,FT-023,Van,4,61.34,0.63
22,19-01-2024,,19,Robert Garcia,Dallas Main Hub,FALSE,TRUE,18-01-2024,Delivered,FT-044,Truck,4,25.35,1.81
23,02-07-2023,,21,Patricia Martinez,Austin Hub,FALSE,TRUE,01-07-2023,Delivered,FT-034,Van,4,43.63,0.94
24,29-04-2023,,46,Kevin White,Austin Hub,FALSE,TRUE,28-04-2023,Delivered,FT-020,Truck,4,42.6,2.33
25,03-07-2023,Road Construction,50,Nancy Thomas,Dallas Main Hub,TRUE,FALSE,02-07-2023,Delivered,FT-010,Van,2,37.91,0.85
26,25-01-2023,Package Sorting Error,37,Jessica Jones,Houston Hub,TRUE,FALSE,25-01-2023,Delivered,FT-016,Van,4,13,2.76
27,31-07-2023,Vehicle Breakdown,38,Elizabeth Harris,El Paso Hub,TRUE,FALSE,30-07-2023,Delivered,FT-006,Van,4,27.02,2.3
28,11-02-2024,,1,Kevin Jones,Dallas Main Hub,FALSE,TRUE,11-02-2024,Delivered,FT-012,Van,5,20.52,1.89
29,31-01-2023,,55,Matthew Rodriguez,Austin Hub,FALSE,TRUE,30-01-2023,Delivered,FT-020,Truck,5,38.22,1.57
30,05-05-2024,Severe Weather,24,Elizabeth Jones,Dallas Main Hub,TRUE,FALSE,03-05-2024,Delivered,FT-008,Van,4,71.78,1.06
31,23-12-2024,,45,Daniel Brown,Houston Hub,FALSE,TRUE,22-12-2024,Delivered,FT-031,Pickup,5,39.64,2.01
32,19-05-2024,Package Sorting Error,26,Kevin Thompson,Dallas Main Hub,TRUE,FALSE,19-05-2024,Delivered,FT-015,Van,4,12.88,2.66
33,04-09-2023,Customer Not Home,22,David Wilson,Houston Hub,TRUE,FALSE,02-09-2023,Delivered,FT-022,Van,3,57.04,1.7
34,11-03-2023,Hub Processing Delay,14,Sarah Davis,Houston Hub,TRUE,FALSE,09-03-2023,Delivered,FT-016,Van,4,62.98,2.27
35,11-05-2023,,22,David Wilson,Houston Hub,FALSE,TRUE,11-05-2023,Delivered,FT-017,Truck,5,8.04,2.61
36,22-11-2023,Severe Weather,53,Thomas Martin,Houston Hub,TRUE,FALSE,21-11-2023,Delivered,FT-028,Pickup,2,41.17,3.89
37,22-03-2024,,13,Daniel Brown,Austin Hub,FALSE,TRUE,22-03-2024,Delivered,FT-007,Van,5,5.07,0.85
38,19-06-2023,Incorrect Address,17,Donald Martin,Fort Worth Hub,TRUE,FALSE,19-06-2023,Delivered,FT-039,Van,4,11.1,2.72
39,26-09-2023,Multiple Delivery Stops,25,Nancy Harris,Austin Hub,TRUE,FALSE,22-09-2023,Delivered,FT-034,Van,2,101.98,2.44
40,01-11-2023,,37,Jessica Jones,Houston Hub,FALSE,TRUE,31-10-2023,Delivered,FT-028,Pickup,4,40.04,3.19
41,13-03-2024,Road Construction,43,Karen Rodriguez,San Antonio Hub,TRUE,FALSE,12-03-2024,Delivered,FT-005,Van,3,45.81,1.48
42,22-08-2023,Vehicle Breakdown,1,Kevin Jones,Dallas Main Hub,TRUE,FALSE,21-08-2023,Delivered,FT-018,Truck,4,44.55,1.7
43,28-10-2023,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,27-10-2023,Delivered,FT-005,Van,5,25.86,1.17
44,24-08-2023,,27,Lisa Moore,Dallas Main Hub,FALSE,TRUE,22-08-2023,Delivered,FT-026,Box Truck,4,52.04,2.4
45,,Driver Unavailable,4,Charles Thompson,Fort Worth Hub,TRUE,FALSE,10-06-2024,Cancelled,FT-030,Van,1,,2.08
46,23-03-2024,Incorrect Address,25,Nancy Harris,Austin Hub,TRUE,FALSE,21-03-2024,Delivered,FT-023,Van,3,63.57,4.02
47,02-08-2024,,40,Charles Moore,Dallas Main Hub,FALSE,TRUE,01-08-2024,Delivered,FT-012,Van,4,42.54,1.6
48,18-06-2024,,22,David Wilson,Houston Hub,FALSE,TRUE,18-06-2024,Delivered,FT-003,Van,4,4.62,1.68
49,16-06-2024,,49,Joseph Williams,Dallas Main Hub,FALSE,TRUE,16-06-2024,Delivered,FT-013,Van,4,23.2,3.74
50,04-04-2023,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,02-04-2023,Delivered,FT-030,Van,4,53.37,1.9
51,07-07-2023,,5,Lisa Taylor,San Antonio Hub,FALSE,TRUE,07-07-2023,Delivered,FT-005,Van,5,22.06,0.8
52,18-02-2023,,33,Charles Davis,Dallas Main Hub,FALSE,TRUE,18-02-2023,Delivered,FT-015,Van,4,9.1,2.32
53,16-10-2023,,20,David Davis,Fort Worth Hub,FALSE,TRUE,15-10-2023,Delivered,FT-009,Van,4,44.97,3.1
54,03-09-2023,,48,Sarah Moore,Houston Hub,FALSE,TRUE,03-09-2023,Delivered,FT-028,Pickup,4,23.63,1
55,22-04-2023,,45,Daniel Brown,Houston Hub,FALSE,TRUE,21-04-2023,Delivered,FT-001,Van,4,47.22,3.51
56,09-12-2023,,23,James Anderson,Austin Hub,FALSE,TRUE,08-12-2023,Delivered,FT-020,Truck,5,43.19,0.57
57,08-04-2023,,48,Sarah Moore,Houston Hub,FALSE,TRUE,06-04-2023,Delivered,FT-032,Van,4,52.96,1.33
58,15-07-2023,,5,Lisa Taylor,San Antonio Hub,FALSE,TRUE,14-07-2023,Delivered,FT-036,Truck,4,29.93,1.66
59,12-10-2023,,55,Matthew Rodriguez,Austin Hub,FALSE,TRUE,11-10-2023,Delivered,FT-020,Truck,5,46.53,2.78
60,11-07-2024,,41,Jessica Johnson,El Paso Hub,FALSE,TRUE,10-07-2024,Delivered,FT-011,Van,4,41.92,1.21
61,20-05-2024,,25,Nancy Harris,Austin Hub,FALSE,TRUE,19-05-2024,Delivered,FT-023,Van,5,31.07,3.03
62,16-08-2023,Incorrect Address,4,Charles Thompson,Fort Worth Hub,TRUE,FALSE,14-08-2023,Delivered,FT-002,Truck,3,65.79,2.51
63,25-08-2023,,46,Kevin White,Austin Hub,FALSE,TRUE,25-08-2023,Delivered,FT-007,Van,4,10.22,2.63
64,13-12-2024,,12,Charles Thompson,El Paso Hub,FALSE,TRUE,12-12-2024,Delivered,FT-043,Van,4,47.25,2.94
65,25-10-2024,Vehicle Breakdown,44,Christopher Davis,Dallas Main Hub,TRUE,FALSE,25-10-2024,Delivered,FT-018,Truck,3,4.28,3.11
66,02-04-2023,Road Construction,50,Nancy Thomas,Dallas Main Hub,TRUE,FALSE,29-03-2023,Delivered,FT-026,Box Truck,4,108.55,0.96
67,24-11-2023,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,22-11-2023,Delivered,FT-030,Van,4,51.55,1.46
68,21-05-2023,,41,Jessica Johnson,El Paso Hub,FALSE,TRUE,20-05-2023,Delivered,FT-006,Van,5,45.47,1.62
69,02-11-2024,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,02-11-2024,Delivered,FT-030,Van,5,10.7,2.21
70,08-06-2024,,19,Robert Garcia,Dallas Main Hub,FALSE,TRUE,08-06-2024,Delivered,FT-044,Truck,5,6.4,2.58
71,30-11-2023,,6,Nancy Thompson,Houston Hub,FALSE,TRUE,28-11-2023,Delivered,FT-017,Truck,5,57.03,3.62
72,07-07-2024,Vehicle Breakdown,53,Thomas Martin,Houston Hub,TRUE,FALSE,07-07-2024,Delivered,FT-001,Van,2,22.41,1.58
73,21-11-2023,Package Sorting Error,7,Karen Hernandez,Dallas Main Hub,TRUE,FALSE,17-11-2023,Delivered,FT-018,Truck,3,119.51,1.62
74,26-07-2024,,32,Daniel Thomas,Houston Hub,FALSE,TRUE,24-07-2024,Delivered,FT-019,Van,4,48.55,2.41
75,17-11-2023,,36,Donald Jackson,Austin Hub,FALSE,TRUE,17-11-2023,Delivered,FT-020,Truck,5,10.72,0.88
76,11-09-2024,,20,David Davis,Fort Worth Hub,FALSE,TRUE,10-09-2024,Delivered,FT-002,Truck,4,43.51,1.46
77,15-02-2024,,34,Matthew Smith,Austin Hub,FALSE,TRUE,14-02-2024,Delivered,FT-034,Van,4,37.95,3.04
78,01-12-2024,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,01-12-2024,Delivered,FT-030,Van,5,8.75,2.02
79,19-04-2024,,24,Elizabeth Jones,Dallas Main Hub,FALSE,TRUE,19-04-2024,Delivered,FT-026,Box Truck,4,16.85,2.66
80,01-09-2023,,42,Charles Hernandez,Dallas Main Hub,FALSE,TRUE,30-08-2023,Delivered,FT-008,Van,4,48.83,1.04
81,18-06-2024,,43,Karen Rodriguez,San Antonio Hub,FALSE,TRUE,17-06-2024,Delivered,FT-036,Truck,5,27.29,1.18
82,14-10-2024,,41,Jessica Johnson,El Paso Hub,FALSE,TRUE,13-10-2024,Delivered,FT-041,Truck,4,25.27,0.46
83,20-01-2023,Package Sorting Error,43,Karen Rodriguez,San Antonio Hub,TRUE,FALSE,17-01-2023,Delivered,FT-005,Van,4,77.9,3.2
84,14-01-2023,,27,Lisa Moore,Dallas Main Hub,FALSE,TRUE,13-01-2023,Delivered,FT-008,Van,4,47.61,1.36
85,12-07-2023,,47,Mary Harris,Dallas Main Hub,FALSE,TRUE,12-07-2023,Delivered,FT-015,Van,5,3.56,1.29
86,02-08-2024,Vehicle Breakdown,15,Patricia Hernandez,El Paso Hub,TRUE,FALSE,30-07-2024,Delivered,FT-041,Truck,4,85.42,1.06
87,15-11-2024,,13,Daniel Brown,Austin Hub,FALSE,TRUE,13-11-2024,Delivered,FT-023,Van,5,56.56,0.56
88,16-07-2024,,55,Matthew Rodriguez,Austin Hub,FALSE,TRUE,15-07-2024,Delivered,FT-023,Van,5,36.79,1.77
89,28-12-2024,,6,Nancy Thompson,Houston Hub,FALSE,TRUE,27-12-2024,Delivered,FT-019,Van,4,47.05,3.6
90,26-12-2023,,19,Robert Garcia,Dallas Main Hub,FALSE,TRUE,26-12-2023,Delivered,FT-010,Van,4,11.72,2.57
91,28-02-2023,,26,Kevin Thompson,Dallas Main Hub,FALSE,TRUE,28-02-2023,Delivered,FT-021,Pickup,5,3.26,2.43
92,15-12-2023,,20,David Davis,Fort Worth Hub,FALSE,TRUE,15-12-2023,Delivered,FT-030,Van,5,6.94,2.21
93,02-03-2023,Vehicle Breakdown,29,Matthew Williams,Houston Hub,TRUE,FALSE,02-03-2023,Delivered,FT-001,Van,3,22.11,3.66
94,14-05-2023,,12,Charles Thompson,El Paso Hub,FALSE,TRUE,13-05-2023,Delivered,FT-041,Truck,4,35.57,1.47
95,02-05-2023,,28,Jennifer Rodriguez,Houston Hub,FALSE,TRUE,01-05-2023,Delivered,FT-003,Van,5,32.57,1.93
96,04-08-2024,,21,Patricia Martinez,Austin Hub,FALSE,TRUE,03-08-2024,Delivered,FT-007,Van,4,29,1.16
97,02-06-2024,,3,Linda Williams,Dallas Main Hub,FALSE,TRUE,31-05-2024,Delivered,FT-013,Van,5,53.19,2.67
98,04-02-2024,,45,Daniel Brown,Houston Hub,FALSE,TRUE,04-02-2024,Delivered,FT-001,Van,5,13.22,2.06
99,06-02-2023,Vehicle Breakdown,49,Joseph Williams,Dallas Main Hub,TRUE,FALSE,06-02-2023,Delivered,FT-018,Truck,3,20.28,1.11
100,27-09-2023,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,27-09-2023,Delivered,FT-036,Truck,4,8.98,1.66
101,05-01-2024,,15,Patricia Hernandez,El Paso Hub,FALSE,TRUE,04-01-2024,Delivered,FT-037,Van,5,45.54,1.72
102,09-04-2024,,50,Nancy Thomas,Dallas Main Hub,FALSE,TRUE,08-04-2024,Delivered,FT-021,Pickup,5,46.39,0.74
103,10-10-2023,,9,Patricia Jones,Houston Hub,FALSE,TRUE,10-10-2023,Delivered,FT-001,Van,5,17.89,0.56
104,12-05-2024,,28,Jennifer Rodriguez,Houston Hub,FALSE,TRUE,10-05-2024,Delivered,FT-031,Pickup,4,50.4,2.44
105,09-07-2024,,13,Daniel Brown,Austin Hub,FALSE,TRUE,09-07-2024,Delivered,FT-020,Truck,4,9.34,2.6
106,15-09-2023,,36,Donald Jackson,Austin Hub,FALSE,TRUE,14-09-2023,Delivered,FT-023,Van,5,27.78,2.97
107,24-01-2023,,29,Matthew Williams,Houston Hub,FALSE,TRUE,22-01-2023,Delivered,FT-003,Van,5,63.54,0.5
108,28-01-2024,,48,Sarah Moore,Houston Hub,FALSE,TRUE,26-01-2024,Delivered,FT-032,Van,4,63.09,2.48
109,20-04-2024,,25,Nancy Harris,Austin Hub,FALSE,TRUE,19-04-2024,Delivered,FT-034,Van,4,28.43,0.76
110,26-04-2024,Hub Processing Delay,1,Kevin Jones,Dallas Main Hub,TRUE,FALSE,24-04-2024,Delivered,FT-044,Truck,4,55,2.07
111,05-07-2023,,42,Charles Hernandez,Dallas Main Hub,FALSE,TRUE,05-07-2023,Delivered,FT-008,Van,4,15.47,3.36
112,11-06-2024,,29,Matthew Williams,Houston Hub,FALSE,TRUE,10-06-2024,Delivered,FT-032,Van,4,44.86,1.97
113,24-04-2023,Severe Weather,19,Robert Garcia,Dallas Main Hub,TRUE,FALSE,21-04-2023,Delivered,FT-015,Van,4,93.19,1
114,31-12-2023,,41,Jessica Johnson,El Paso Hub,FALSE,TRUE,29-12-2023,Delivered,FT-037,Van,4,51.8,2.04
115,25-11-2024,,47,Mary Harris,Dallas Main Hub,FALSE,TRUE,25-11-2024,Delivered,FT-026,Box Truck,4,3.13,2.57
116,06-12-2023,,45,Daniel Brown,Houston Hub,FALSE,TRUE,06-12-2023,Delivered,FT-019,Van,4,10.58,3.85
117,28-01-2024,,17,Donald Martin,Fort Worth Hub,FALSE,TRUE,28-01-2024,Delivered,FT-030,Van,4,15.96,1.16
118,11-06-2023,Road Construction,52,Daniel Garcia,Austin Hub,TRUE,FALSE,10-06-2023,Delivered,FT-007,Van,3,47.49,3.03
